Time,1980-2020-WRF-DIST,SSP545-COOL-FAR,SSP545-HOT-FAR,SSP585-COOL-FAR,SSP585-HOT-FAR
07/05/1981,255.8754854,241.8651006,171.7230261,295.7187078,180.697491
08/05/1981,242.138943,243.2598715,173.0843104,254.3849353,175.5195614
09/05/1981,194.2902043,195.370656,140.63986,192.9517474,134.8784308
10/05/1981,161.6639174,162.5382419,119.0458571,159.4241449,111.4202034
11/05/1981,146.5113729,181.1735441,120.2980359,155.0729204,109.8303955
12/05/1981,967.812706,2025.010828,1793.630832,978.2706316,781.2848521
13/05/1981,1043.913783,3435.301238,2655.73231,1536.994071,1538.177916
14/05/1981,719.6129393,2947.113817,1946.601007,1392.108476,1401.871139
15/05/1981,483.5507448,1905.573109,1238.150206,894.9268145,874.9943466
16/05/1981,815.2937331,1810.328931,1152.166417,1146.807718,948.6945094
17/05/1981,985.0416489,1913.613976,1251.762894,1423.59854,1078.986469
18/05/1981,825.7171285,1585.414422,1076.876946,1237.392656,875.3411953
19/05/1981,600.0312125,1100.99974,760.6862973,855.8202073,598.2244671
20/05/1981,443.327555,781.9043458,550.7873289,612.0407834,437.3713761
21/05/1981,348.1965984,591.7129158,430.4718158,466.5655988,341.8265408
22/05/1981,279.8625686,461.0619051,346.3732899,364.9738609,278.2128875
23/05/1981,228.9381206,367.8489335,285.4295994,292.6340614,232.7958704
24/05/1981,191.8272523,303.796541,241.1131544,242.9144695,198.892005
25/05/1981,166.2797514,259.9627788,210.0426553,209.7428379,175.3810551
26/05/1981,147.3052055,226.3554344,186.39196,184.982503,157.8520303
27/05/1981,139.9695031,204.7196629,169.6487979,165.8313121,146.2994489
28/05/1981,129.501935,185.9442218,152.115592,150.7894479,131.7596348
29/05/1981,199.0160348,215.6865204,202.1076289,191.4465876,132.4282951
30/05/1981,279.6264848,365.207361,214.4309079,339.1874486,198.2218535
31/05/1981,172.6902348,227.5952194,172.5080123,183.2753763,152.6961509
01/06/1981,169.0935361,215.3455494,185.35134,163.9760758,134.936298
02/06/1981,221.7690701,203.5084615,179.3220378,157.4265874,122.2592125
03/06/1981,303.3304024,179.6841461,147.5448463,168.047407,125.5480038
04/06/1981,277.13894,222.4384453,141.506826,207.5140393,114.1317726
05/06/1981,284.6185153,430.5636111,158.3838669,496.062196,135.3802439
06/06/1981,197.5166524,488.7162214,176.8904745,303.5773356,120.1191416
07/06/1981,178.2290625,362.5306995,198.9849044,241.7462106,107.8499666
08/06/1981,135.0521751,398.6893076,246.3218433,190.8329923,132.5800981
09/06/1981,116.7983311,277.8670414,193.9916965,154.3516953,103.9776491
10/06/1981,139.429179,286.0848035,277.192543,172.4962285,122.6259158
11/06/1981,233.938801,329.8610908,300.8019791,243.2473931,174.9958748
12/06/1981,165.9729334,221.6720088,158.3887525,151.3367314,103.5724911
13/06/1981,127.3374066,167.6456145,127.3342306,123.1109258,86.21512475
14/06/1981,205.9510209,308.2679759,443.0532195,363.3085866,99.2796995
15/06/1981,487.1959974,698.9515446,1205.299938,980.6053454,155.7699771
16/06/1981,841.2522161,562.0143053,666.1676643,1027.1362,151.6579896
17/06/1981,452.3750533,406.7122351,432.683676,513.2017865,136.5931699
18/06/1981,417.6999256,315.0716766,385.17772,354.9364218,100.5592011
19/06/1981,294.0413648,258.3992928,267.716866,279.5628638,83.89418188
20/06/1981,282.2799001,224.697438,223.8711206,246.6380243,85.34951513
21/06/1981,803.8452379,570.3127355,591.9969824,709.8008383,377.8760734
22/06/1981,742.4370594,538.9257818,468.574446,664.3477248,766.5390785
23/06/1981,624.24621,643.3899514,343.4875546,471.1279981,504.7790149
24/06/1981,459.470877,688.4503574,259.6333813,374.9922791,332.7839896
25/06/1981,322.2971445,508.4891613,200.86963,277.2009538,226.8058805
26/06/1981,368.1833411,543.1904921,218.5167019,355.708897,175.128457
27/06/1981,357.8539279,467.9913506,248.6760538,439.1075351,155.3010409
28/06/1981,253.689775,317.7963283,197.7983653,323.6365375,125.5488776
29/06/1981,197.1395091,240.8637616,151.8010555,233.805253,106.7849598
30/06/1981,168.2866256,200.757882,133.99368,194.1830519,96.78712538
01/07/1981,145.6790111,171.195346,119.1816636,166.7805795,88.65665738
02/07/1981,930.0884198,253.7724658,257.2933121,385.0519824,444.8884204
03/07/1981,3791.92813,1200.286246,1293.272862,1982.972958,1425.143514
04/07/1981,2779.792345,1493.915245,1143.767148,2100.317809,1328.621933
05/07/1981,3545.805193,4084.477534,2104.205076,3077.078579,1128.128796
06/07/1981,2766.094457,3538.206688,2873.70804,2898.62864,1379.224032
07/07/1981,1911.916322,2581.57774,1834.107709,2477.40636,1281.467592
08/07/1981,1287.060328,1669.52591,1178.998374,1601.233676,842.4433114
09/07/1981,921.976209,1156.097883,840.6691023,1118.391988,590.2636868
10/07/1981,686.8801116,843.0569041,626.397758,831.1835686,448.5374014
11/07/1981,527.693109,634.5278431,483.4005643,641.7998258,355.0448063
12/07/1981,420.0412464,495.2045083,388.3705821,509.444073,290.9640778
13/07/1981,345.1729069,399.3364368,321.1491513,414.4379701,249.1119409
14/07/1981,300.961678,329.8730678,268.4879433,341.3837194,215.9306605
15/07/1981,272.6026078,275.7149435,225.2332138,284.102577,185.1824294
16/07/1981,224.0144685,235.2871615,194.660709,244.031787,161.1766886
17/07/1981,195.5706769,210.1500823,177.333677,218.8668534,148.352643
18/07/1981,176.7293939,192.6102789,163.9140301,200.2722819,139.6464104
19/07/1981,161.5058364,176.9598194,152.6492446,185.2185251,130.821471
20/07/1981,186.0854601,180.2874701,170.304731,217.6800226,127.3243438
21/07/1981,491.5915199,396.0327616,399.1910716,292.0578903,204.4470646
22/07/1981,477.8352108,520.5658949,396.0366959,306.4399561,300.1094433
23/07/1981,322.6574346,330.148284,300.7424405,236.8169556,248.7577913
24/07/1981,244.7135081,237.8672928,208.4057493,188.4600809,180.0280226
25/07/1981,192.450973,192.013039,170.012356,159.246339,145.095202
26/07/1981,172.6644613,167.3820959,147.8004341,142.0456891,152.9750135
27/07/1981,298.358813,1068.399499,790.9866298,254.2344,302.8726961
28/07/1981,349.9486926,625.0862025,1724.545836,249.5316401,186.5400591
29/07/1981,342.3470858,710.1070985,1359.851727,194.3423778,184.0507033
30/07/1981,485.0226286,1298.653167,968.4328988,282.0255686,243.8543168
31/07/1981,330.026117,724.5616326,780.5894806,272.2039354,233.1457758
01/08/1981,228.9623183,495.2559771,520.9310506,185.9076256,165.6676036
02/08/1981,190.2797699,387.583056,387.4110895,156.513809,139.0471986
03/08/1981,166.3909079,315.692104,308.1599014,139.5793509,124.8834668
04/08/1981,156.8522829,276.4862536,274.9921599,130.9204395,133.532745
05/08/1981,162.8738676,415.5313481,268.2743014,181.1854944,124.8509149
06/08/1981,141.7239276,463.9252993,243.1164589,224.9968803,109.3269213
07/08/1981,123.3203985,302.1485898,201.0073888,205.2517501,95.43640425
08/08/1981,139.7822798,289.4998341,351.3725418,180.7602369,109.0397761
09/08/1981,317.0736524,443.402383,1240.187149,317.7215918,813.6573091
10/08/1981,253.8977608,332.8916116,902.9518086,263.1441859,701.4355816
11/08/1981,171.3313769,243.5388254,572.3718756,183.228155,412.0642681
12/08/1981,206.1082953,216.2864344,606.533783,206.5467958,297.098918
13/08/1981,343.5602244,312.1447525,657.86134,296.1032634,306.7823979
14/08/1981,267.9893608,352.2171259,444.7954533,220.7877935,333.9213183
15/08/1981,180.701531,252.3010034,331.1957528,162.5653631,251.8010676
16/08/1981,193.0958809,217.7052365,374.6541564,161.0665919,194.9135516
17/08/1981,242.8107751,268.8008279,368.5900673,208.6931813,174.070538
18/08/1981,173.9006745,236.5070219,278.3991298,174.1968999,149.1684086
19/08/1981,132.2875541,176.6900845,216.5124713,131.5932115,128.5757529
20/08/1981,114.2531473,152.2663409,187.1646666,114.7773071,117.2952135
21/08/1981,100.6224745,134.4273616,164.6142511,102.8793236,107.2812278
22/08/1981,92.11144325,123.7241146,149.0845641,95.20569513,100.6531025
23/08/1981,87.40768938,116.5896124,139.5011824,90.89144763,96.16514725
24/08/1981,83.447926,110.1892521,130.89289,86.62422825,91.96419563
25/08/1981,81.9062935,110.4214284,121.6241981,96.18651163,86.867986
26/08/1981,81.38526588,104.9745663,116.958282,94.40635813,81.50828463
27/08/1981,77.07993813,98.2281755,110.8397421,83.3554235,78.67479563
28/08/1981,71.28856838,92.41839425,103.3148575,76.3826065,75.21756888
29/08/1981,65.67586738,102.2649776,104.1424205,76.08854538,73.8027075
30/08/1981,67.72226513,97.04247075,104.597869,96.46139975,76.785805
31/08/1981,84.58558538,267.4819121,164.7446001,97.11489525,116.9097419
01/09/1981,88.59725413,269.7548644,190.6951944,131.1174705,164.4510866
02/09/1981,131.6452109,273.5497466,209.7413884,246.4419601,113.2360085
03/09/1981,95.195917,181.8072935,151.3764758,180.6055111,133.4667071
04/09/1981,91.66449488,188.929283,137.4897581,156.3229864,160.2573014
05/09/1981,104.5078565,172.075922,176.6418656,201.4978003,164.3962831
06/09/1981,105.802115,145.2717284,152.4835885,207.5828521,129.1369266
07/09/1981,104.8111566,124.9372446,136.2795984,167.3967584,147.0648054
08/09/1981,203.5702933,116.445104,124.7731449,130.8894009,156.8149359
09/09/1981,447.1609668,440.7607893,681.3935851,532.5501454,382.1163911
10/09/1981,570.3145446,574.4584546,739.4484204,772.525179,389.3393285
11/09/1981,357.8946828,428.271598,433.8432616,645.4950599,253.8986723
12/09/1981,227.4341684,268.0831594,289.1732,409.7867551,164.6567804
13/09/1981,175.584566,204.0882188,225.8352054,291.5164773,133.8371913
14/09/1981,145.9489734,168.902399,188.6560989,227.0645704,115.4728269
15/09/1981,179.259372,182.6195266,166.4927018,221.3550266,109.1692781
16/09/1981,276.4919185,477.6627484,778.639182,603.4393881,1267.828866
17/09/1981,448.43356,417.6558663,776.0378241,521.4188268,1620.003189
18/09/1981,247.8042439,254.1465606,460.8665105,294.9005053,812.9879368
19/09/1981,754.4894054,722.0945889,410.2304425,308.3946474,530.5600189
20/09/1981,753.5896066,677.5420109,400.760411,288.0718575,401.9771856
21/09/1981,468.410213,453.851662,281.0516476,232.745313,300.7811886
22/09/1981,312.6474085,304.4303144,218.6128025,177.5830708,241.4138696
23/09/1981,249.8788698,240.7024638,191.3843413,154.0479821,208.8030231
24/09/1981,245.8420188,215.2151665,180.2596165,145.6273886,182.1705368
25/09/1981,239.6345838,224.495533,188.038085,161.2729364,182.80268
26/09/1981,227.1562173,206.3650634,181.0962296,166.3912696,169.6198088
27/09/1981,173.6256769,163.1459918,144.7024849,131.3123155,140.0453889
28/09/1981,149.8856209,144.5155456,124.3720715,111.7549964,121.198904
29/09/1981,145.7161601,127.8266591,108.2869234,99.5569795,107.6455063
30/09/1981,135.2992514,116.4055164,101.9916783,91.736505,100.201258
01/10/1981,116.8148954,108.192974,97.14748075,86.30622425,94.136729
02/10/1981,195.4557011,166.4776213,110.0426583,105.3705481,94.75108863
03/10/1981,339.0598073,226.5945333,138.5576046,120.4538008,106.5432643
04/10/1981,265.3997593,147.7362781,155.9160899,114.2975184,131.7405636
05/10/1981,192.8993009,127.1167609,147.0808035,105.3921909,127.0015981
06/10/1981,168.26386,127.8950526,126.2455254,100.8345069,104.2002413
07/10/1981,445.1811728,311.2631043,180.0172858,188.8635684,127.8395946
08/10/1981,436.7537645,301.5234323,222.2383789,199.2247435,172.7956781
09/10/1981,305.7724956,209.0111384,169.9072049,150.0373269,135.2496384
10/10/1981,236.4958599,168.6024598,139.947394,123.4134834,113.491136
11/10/1981,198.4727535,146.7695355,120.9447925,108.9878409,99.83288463
12/10/1981,173.8124038,133.9690713,110.2173544,100.6536399,91.8185715
13/10/1981,154.4032684,122.797269,101.562225,93.107862,85.2608285
14/10/1981,141.520551,115.8384955,96.11818163,88.72966925,81.36431388
15/10/1981,131.942928,111.1014743,92.36463813,85.87722738,78.95799313
16/10/1981,123.4878839,105.9846274,88.29959613,82.31736488,76.1010675
17/10/1981,112.5788813,98.73709338,81.43811388,75.69601075,70.97747875
18/10/1981,108.036408,96.22545238,79.09296725,74.3474595,69.33873588
19/10/1981,294.6753203,341.4203898,213.7416316,272.2376329,112.6428616
20/10/1981,298.1850435,322.7799691,261.3893444,225.4819583,148.9106633
21/10/1981,224.0033374,206.1071008,179.0896265,149.391594,108.6895064
22/10/1981,169.0391119,155.826696,128.1343375,115.0668963,82.8569295
23/10/1981,146.406295,136.3977045,110.7054783,101.3351874,74.27810175
